operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url,lat,lon
sell,apartment,|Argentina|Capital Federal|Barrio Norte|,"-34.595688,-58.4031864",235000.0,USD,3563164.0,235000.0,102.0,100.0,2303.921569,2350.0,1.0,4.0,3000.0,http://barrio-norte.properati.com.ar/12iob_venta_departamentos_barrio-norte_balcon_lavadero_toilette_garage_placard_subte-linea-d_subte-linea-h_eduardo-bertolotti-propiedades,-34.595688,-58.4031864
sell,apartment,|Argentina|Capital Federal|Villa Devoto|,"-34.5911764502,-58.5083326486",123000.0,USD,1864975.2,123000.0,56.0,51.0,2196.428571,2411.764706,,,,http://villa-devoto.properati.com.ar/12uf7_venta_departamentos_villa-devoto_balcon_lavadero_parrilla_terraza_luminoso_adriana-unrein-propiedades,-34.5911764502,-58.5083326486
sell,apartment,|Argentina|Capital Federal|Villa Luro|,"-34.6386217,-58.496227",98000.0,USD,1485915.2,98000.0,67.0,60.0,1462.686567,1633.333333,,3.0,,http://villa-luro.properati.com.ar/xwoi_venta_departamentos_villa-luro_balcon_lavadero_nole-propiedades_cbd,-34.6386217,-58.496227
sell,apartment,|Argentina|Capital Federal|Las Cañitas|,"-34.569335,-58.4348693",178000.0,USD,2698907.2,178000.0,63.0,60.0,2825.396825,2966.666667,9.0,3.0,3900.0,http://las-canitas.properati.com.ar/xoej_venta_departamentos_las-canitas_lavadero_luminoso_garage,-34.569335,-58.4348693
sell,apartment,|Argentina|Capital Federal|Saavedra|,"-34.5429830084,-58.4812108375",92000.0,USD,1394940.8,92000.0,43.0,39.0,2139.534884,2358.974359,,1.0,2000.0,http://saavedra.properati.com.ar/10vyf_venta_departamentos_saavedra_balcon_sum_luminoso_ruiz-propiedades_cd6,-34.5429830084,-58.4812108375
sell,apartment,|Argentina|Capital Federal|Villa Urquiza|,"-34.566673,-58.479431",120000.0,USD,1819488.0,120000.0,,63.0,,1904.761905,401.0,2.0,,http://villa-urquiza.properati.com.ar/11eaq_venta_departamentos_villa-urquiza_balcon_jardin_parrilla_piscina_sum_terraza_garage_placard_aire-acondicionado_losa-radiante_re-max-acci-oacute-n,-34.566673,-58.479431
sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.6123042,-58.4032943",100000.0,USD,1516240.0,100000.0,64.0,50.0,1562.5,2000.0,,,,http://almagro.properati.com.ar/wejr_venta_departamentos_almagro,-34.6123042,-58.4032943
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5729833,-58.4388579",165000.0,USD,2501796.0,165000.0,0.0,47.0,,3510.638298,,2.0,,http://belgrano.properati.com.ar/unua_venta_departamentos_belgrano,-34.5729833,-58.4388579
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.5806225,-58.41111",208000.0,USD,3153779.2,208000.0,70.0,60.0,2971.428571,3466.666667,,2.0,,http://palermo.properati.com.ar/10aqd_venta_departamentos_palermo_jardin_lujoso_placard_estrenar_migliorisi-propiedades_cy2,-34.5806225,-58.41111
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.6167403,-58.4430273",66720.0,USD,1011635.32,66720.0,35.0,28.0,1906.285714,2382.857143,,1.0,,http://caballito.properati.com.ar/11d9m_venta_departamentos_caballito_baulera_parrilla_garage_lone-lighthouse_d9p,-34.6167403,-58.4430273
